Collectivités territoriales,Population,region
Gafait,2604.0,Région de l'Oriental
Lebkhata,2541.0,Région de l'Oriental
Bni Mathar,10887.0,Région de l'Oriental
Ouled Sidi Abdelhakem,1276.0,Région de l'Oriental
Mrija,2882.0,Région de l'Oriental
Ouled Ghziyel,4656.0,Région de l'Oriental
Berkane,99069.0,Région de l'Oriental
Ahfir,16310.0,Région de l'Oriental
Saidia,10514.0,Région de l'Oriental
Aklim,8630.0,Région de l'Oriental
Ain Erreggada,2391.0,Région de l'Oriental
Sidi Slimane Echcharaa,31686.0,Région de l'Oriental
Laatamna,14561.0,Région de l'Oriental
Madagh,14659.0,Région de l'Oriental
Fezouane,5783.0,Région de l'Oriental
Aghbal,16113.0,Région de l'Oriental
Boughriba,19013.0,Région de l'Oriental
Chouihia,11249.0,Région de l'Oriental
Rislane,3783.0,Région de l'Oriental
Sidi Bouhria,4088.0,Région de l'Oriental
Tafoughalt,2366.0,Région de l'Oriental
Zegzel,23846.0,Région de l'Oriental
Taourirt,100402.0,Région de l'Oriental
El Aioun Sidi Mellouk,40652.0,Région de l'Oriental
Debdou,4447.0,Région de l'Oriental
Gteter,8222.0,Région de l'Oriental
Ahl Oued Za,11024.0,Région de l'Oriental
Melg El Ouidane,8009.0,Région de l'Oriental
Ain Lehjer,7692.0,Région de l'Oriental
Mechraa Hammadi,4343.0,Région de l'Oriental
Mestegmer,5295.0,Région de l'Oriental
Tancherfi,6092.0,Région de l'Oriental
Sidi Ali Bel Quassem,13951.0,Région de l'Oriental
Sidi Lahsen,6779.0,Région de l'Oriental
El Atef,933.0,Région de l'Oriental
Ouled M'hamed,2316.0,Région de l'Oriental
Guercif,80703.0,Région de l'Oriental
Barkine,6839.0,Région de l'Oriental
Assebbab,7144.0,Région de l'Oriental
Houara Oulad Raho,39947.0,Région de l'Oriental
Lamrija,14457.0,Région de l'Oriental
Saka,20857.0,Région de l'Oriental
Ras Laksar,12092.0,Région de l'Oriental
Taddart,26540.0,Région de l'Oriental
Oulad Bourima,1117.0,Région de l'Oriental
Mazguitam,6141.0,Région de l'Oriental
Figuig,10449.0,Région de l'Oriental
Bouarfa,30068.0,Région de l'Oriental
Bni Tadjite,17557.0,Région de l'Oriental
Bouanane,11181.0,Région de l'Oriental
Ain Chair,1501.0,Région de l'Oriental
Ain Chouater,706.0,Région de l'Oriental
Boumerieme,8067.0,Région de l'Oriental
Talsint,18806.0,Région de l'Oriental
Bouchaouene,15242.0,Région de l'Oriental
Bni Guil,8261.0,Région de l'Oriental
Abbou Lakhal,1790.0,Région de l'Oriental
Tendrara,14269.0,Région de l'Oriental
Maatarka,6554.0,Région de l'Oriental
Fès,1167842.0,Région de Fès-Meknès
Méchouar-Fès-El Jadid,15121.0,Région de Fès-Meknès
Oulad Tayeb,56352.0,Région de Fès-Meknès
Sidi Harazem,5748.0,Région de Fès-Meknès
